ano,uf_codigo,internacoes_por_lesao,com_causa_externa,pct_preenchido
2013,52,43483,40574,0.9331002920681646
2013,53,11875,11712,0.9862736842105263
2014,11,14329,13119,0.9155558657268477
2014,12,4578,4444,0.9707295762341633
2014,13,10507,8288,0.7888074616922052
2014,14,2570,2487,0.967704280155642
2014,15,51726,46868,0.906082047712949
2014,16,1981,1876,0.9469964664310954
2014,17,13348,11210,0.8398261911896914
2014,21,35871,29637,0.8262105879401188
2014,22,20028,18992,0.9482724186139405
2014,23,51076,50573,0.9901519304565746
2014,24,11993,11810,0.9847410989744018
2014,25,14756,14609,0.9900379506641366
2014,26,53531,52477,0.9803104743046085
2014,27,13493,13288,0.9848069369302601
2014,28,7184,6136,0.8541202672605791
2014,29,68702,64071,0.9325929376146255
2014,31,125935,120347,0.9556279032834398
2014,32,23903,20060,0.8392252018575074
2014,33,64569,62058,0.9611113692329136
2014,35,233012,226777,0.9732417214564056
2014,41,79799,75706,0.9487086304339654
2014,42,45586,43761,0.9599657789672268
2014,43,61586,56577,0.9186665800668983
2014,50,20033,19726,0.9846752857784655
2014,51,25748,25055,0.9730852881777226
2014,52,46149,42351,0.9177013586426574
2014,53,11827,11741,0.992728502578845
2015,11,14241,13776,0.9673477986096481
2015,12,4506,4374,0.9707057256990679
2015,13,11796,10168,0.8619871142760258
2015,14,3259,3173,0.9736115372813746
2015,15,52269,45974,0.8795653255275594
2015,16,2040,1965,0.9632352941176471
2015,17,10601,8410,0.7933213847750212
2015,21,36378,32527,0.8941393149705866
2015,22,22050,21004,0.952562358276644
2015,23,47688,46996,0.9854890119107532
2015,24,11557,11432,0.9891840443021546
2015,25,14414,14281,0.990772859719717
2015,26,50852,49692,0.9771887044757335
2015,27,15106,14912,0.9871574208923607
2015,28,7628,7463,0.9783691662296802
2015,29,70171,66233,0.9438799504068632
2015,31,123908,120108,0.9693320850953934
2015,32,25520,22290,0.8734326018808778
2015,33,67585,63364,0.9375453133091662
2015,35,225725,222170,0.9842507475910953
2015,41,79317,75929,0.9572853234489453
2015,42,44488,43037,0.9673844632260384
2015,43,64073,60826,0.9493234279649775
2015,50,19992,19700,0.9853941576630653
2015,51,25153,24146,0.9599650141136247
2015,52,46970,43998,0.9367255695124548
2015,53,12296,12144,0.9876382563435263
2016,11,14511,14360,0.9895941010268072
2016,12,4694,4586,0.9769919045590115
2016,13,12818,11331,0.8839912622874083
2016,14,4825,4663,0.9664248704663212
2016,15,50750,44486,0.8765714285714286
2016,16,1783,1764,0.9893438025799215
2016,17,10500,9139,0.8703809523809524
2016,21,35778,32800,0.9167644921460115
2016,22,23749,22928,0.9654301233736158
2016,23,47280,46497,0.9834390862944162
2016,24,12864,12746,0.9908271144278606
2016,25,12800,12703,0.992421875
2016,26,52163,50370,0.9656269769760175
2016,27,17038,16577,0.9729428336659233
2016,28,9055,8977,0.9913859745996687
2016,29,73334,68777,0.9378596558213107
2016,31,124815,120367,0.9643632576212795
2016,32,25211,22232,0.8818372932450121
2016,33,64890,60340,0.9298813376483279
2016,35,230244,225949,0.9813458765483574
2016,41,83899,80330,0.9574607563856542
2016,42,46770,44844,0.958819756254009
2016,43,61966,58786,0.9486815350353419
2016,50,18071,17608,0.9743788390238504
2016,51,27508,26481,0.9626654064272212
2016,52,48491,45014,0.9282959724484956
2016,53,13986,13895,0.9934934934934935
2017,11,14003,13724,0.9800756980647004
2017,12,4037,3921,0.9712657914292792
2017,13,14018,12652,0.9025538593237267
2017,14,4075,3932,0.9649079754601227
2017,15,51948,46155,0.8884846384846384
2017,16,1731,1686,0.9740034662045061
2017,17,9783,8604,0.8794848206071757
2017,21,38204,35075,0.9180975814050885
2017,22,23026,22441,0.9745939372882828
2017,23,43740,42955,0.982053040695016
2017,24,15521,15271,0.9838927904129888
2017,25,14296,14239,0.9960128707330722
2017,26,56552,56053,0.9911762625548168
2017,27,16208,15202,0.9379318854886476
2017,28,7723,7684,0.9949501489058656
2017,29,71478,66663,0.9326366154621002
2017,31,127118,122621,0.9646234207586651
2017,32,26304,23555,0.8954911800486618
2017,33,68707,63686,0.9269215654882327
2017,35,230380,226036,0.981144196544839
2017,41,89747,85318,0.9506501610081673
2017,42,49860,48689,0.9765142398716405
2017,43,62433,58940,0.9440520237694808
2017,50,18231,17676,0.9695573473753497
2017,51,26243,25173,0.9592272224974279
2017,52,47500,44226,0.9310736842105263
2017,53,13945,13864,0.9941914664754392
2018,11,14810,14538,0.9816340310600945
2018,12,4099,4028,0.9826787021224689
2018,13,14037,13203,0.9405855952126523
2018,14,4482,4321,0.964078536367693
2018,15,54627,48899,0.8951434272429385
2018,16,2109,1987,0.9421526789947843
2018,17,8889,7962,0.8957138035774553
2018,21,40646,37160,0.9142351030851744
2018,22,23630,23003,0.9734659331358443
2018,23,47279,46719,0.9881554178387868
2018,24,16047,15420,0.9609272761263787
2018,25,13473,13418,0.9959177614488236
2018,26,54894,54269,0.9886144205195467
